,Day_of_week,Age_band_of_driver,Sex_of_driver,Educational_level,Vehicle_driver_relation,Driving_experience,Type_of_vehicle,Owner_of_vehicle,Area_accident_occured,Lanes_or_Medians,Road_allignment,Types_of_Junction,Road_surface_type,Road_surface_conditions,Light_conditions,Weather_conditions,Type_of_collision,Vehicle_movement,Casualty_class,Sex_of_casualty,Age_band_of_casualty,Casualty_severity,Pedestrian_movement,Cause_of_accident
0,1,0,1,0,0,0,0,3,9,2,5,1,0,0,3,2,3,2,3,2,5,3,5,9
1,1,1,1,4,0,3,11,3,6,4,5,1,0,0,3,2,8,2,3,2,5,3,5,16
2,1,0,1,4,0,0,5,3,1,6,5,1,0,0,3,2,2,2,0,1,1,2,5,0
3,3,0,1,4,0,2,11,0,6,6,6,7,2,0,0,2,8,2,2,0,0,2,5,1
4,3,0,1,4,0,1,0,3,4,6,5,7,0,0,0,2,8,2,3,2,5,3,5,16
5,0,1,1,4,3,2,0,3,7,2,5,7,0,0,3,2,8,10,0,1,1,2,5,14
6,6,0,1,4,0,1,0,3,9,4,5,0,0,0,3,2,8,3,0,0,0,2,5,13
7,0,0,1,4,0,1,0,0,9,6,5,7,0,0,3,2,8,10,3,2,5,3,5,12
8,0,0,1,4,0,3,5,3,4,6,5,7,2,0,3,2,3,2,2,1,4,2,0,1
9,0,0,1,4,0,0,0,3,9,4,5,7,0,0,3,2,3,10,1,1,0,2,5,9
10,2,0,1,0,2,0,10,3,9,6,5,1,0,0,3,2,0,9,3,2,5,3,5,0
11,2,1,1,0,0,5,0,3,6,4,5,1,2,0,3,2,0,2,0,1,0,2,5,11
12,4,0,1,4,0,0,11,3,6,0,0,1,0,0,3,2,0,2,3,2,5,3,5,10
13,4,1,1,4,0,2,5,3,6,6,5,1,0,0,3,2,0,12,3,2,5,3,5,12
14,4,1,1,4,0,3,0,3,6,4,0,1,0,0,3,2,0,2,0,0,0,2,5,10
15,1,0,0,4,0,3,4,3,6,1,5,7,0,3,0,4,0,2,3,2,5,3,5,10
16,1,0,1,4,2,2,10,3,6,4,5,7,0,3,0,4,0,2,3,2,5,3,5,9
17,1,0,1,1,0,1,10,3,6,6,5,7,0,3,0,4,0,2,3,2,5,3,5,1
18,1,0,1,4,0,1,0,3,9,6,5,7,0,3,0,4,0,3,3,2,5,3,5,11
19,5,0,1,4,0,4,3,3,9,1,5,7,0,0,3,2,0,2,0,1,4,2,5,9
20,5,3,1,4,0,1,5,3,7,1,5,7,0,0,3,2,0,2,3,2,5,3,5,7
21,4,0,1,4,0,1,4,3,2,4,5,0,0,0,3,2,0,3,0,1,0,2,5,16
22,4,0,1,1,0,2,5,3,1,6,5,7,0,0,3,2,5,1,1,0,1,2,5,14
23,4,1,1,4,0,3,9,3,4,4,5,7,0,0,3,2,6,7,1,1,0,2,5,1
24,6,0,1,4,3,2,0,3,9,6,5,0,1,0,3,2,0,9,3,2,5,3,5,8
25,6,0,1,4,0,1,15,3,9,6,8,0,0,0,3,2,6,2,0,0,1,2,5,13
26,6,0,2,4,0,2,0,3,6,0,5,0,0,0,3,2,0,2,2,1,4,2,1,0
27,0,0,1,0,0,1,0,3,0,4,5,1,0,0,3,2,0,2,3,2,5,3,5,1
28,5,2,2,4,3,2,0,3,13,6,5,1,0,0,3,2,8,2,0,1,1,2,5,11
29,5,0,1,4,0,0,5,3,4,6,5,1,0,0,3,2,4,2,0,1,0,1,5,15
30,1,0,1,4,0,1,0,3,9,3,5,0,0,0,3,2,3,2,3,2,5,3,5,0
31,4,0,1,4,0,3,0,0,9,4,5,1,0,0,3,2,3,3,0,1,0,2,5,12
32,4,0,1,4,0,4,5,3,7,4,5,1,0,0,3,2,6,7,1,0,0,2,5,1
33,4,1,2,4,0,1,0,0,9,6,5,1,0,0,3,2,0,9,3,2,5,3,5,10
34,2,2,1,4,0,4,0,3,10,4,1,2,0,0,3,2,0,2,0,0,0,2,5,11
35,2,0,1,2,0,2,0,3,10,4,1,2,0,0,3,2,4,2,2,1,4,2,6,10
36,0,0,1,0,0,0,15,3,6,0,5,0,0,0,0,2,3,2,3,2,5,3,5,12
37,0,2,1,4,0,4,0,3,9,4,1,0,0,0,0,2,0,2,0,0,0,1,5,13
38,0,2,1,4,3,2,0,3,9,6,5,0,0,0,0,2,0,2,3,2,5,3,5,3
39,3,2,1,2,0,4,0,3,5,6,5,1,0,0,3,2,1,2,0,0,0,2,5,0
